,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,title,url,Listing Month,Listing Year,Zipcode
16,82,2,6,Austin,15-Dec,"Cute two bedroom with lots of windows, sunny back deck, front porch in friendly neighborhood (Hyde Park, Austin) near UT and downtown. Easy walk to coffee shops and restaurants!",Cosy 2 Bedroom in Hyde Park!,https://www.airbnb.com/rooms/18550276?location=Cedar%20Park%2C%20TX,December,2015,[78751]
28,110,1,4,Austin,15-Sep,"Comfortable Traditional Interior Furniture in Amazing Location minutes Drive to SoCo, Downtown, ACL, &amp; SXSW. Walk to SoLa Eateries Coffee or Bars! Large queen bed &amp; sofa double bed comfortably accommodates up to 4. Free WiFi, Cable TV &amp; 1 Reserved Parking.",Fabulous Central Austin Condo!,https://www.airbnb.com/rooms/13571814?location=Austin%2C%20TX,September,2015,[78704]
33,119,1,4,Austin,10-Aug,"Just minutes from Austin's main attractions, entire 400 sq ft attached apartment in desirable Tarrytown (1940s) neighborhood with living room, bedroom and bath. We are licensed by the City of Austin to operate a Short Term Rental. NOTE: 15% HOTEL OCCUPANCY TAX INCLUDED IN PRICE!",Sunny Central Austin Apartment,https://www.airbnb.com/rooms/46929?location=Colorado%20River%2C%20TX,August,2010,[78703]
37,105,1,4,Austin,12-Jan,Modern remodeled Spartan on a large shaded lot.,Chic 1953 Spartanette Guesthouse,https://www.airbnb.com/rooms/321636?location=Colorado%20River%2C%20TX,January,2012,[78702]
45,50,1,3,Austin,17-Jun,"Apartment finished to a high standard, for people who value prestige. The apartment is furnished, ready to move in.",Lovely private room,https://www.airbnb.com/rooms/19209856?location=Cedar%20Creek%2C%20TX,June,2017,[78725]
70,130,1,5,Austin,14-Mar,"*Not an actual Treehouse\n\nWelcome to my spacious 1 bedroom apartment located on the 2nd floor. Huge windows, a working fireplace, laminate hardwood floors, wifi, and a comfortable queen size bed are just a few perks this great space offers. I offer a self check-in so you are welcome to arrive anytime after the check-in time that's convenient for you.",Treehouse Oasis with 2 bikes,https://www.airbnb.com/rooms/4279079?location=Colorado%20River%2C%20TX,March,2014,[78704]
84,135,2,7,Austin,16-Nov,"If you're looking for a comfortable place in Brentwood with character then you've found it. It's a great launching pad for your Austin adventure located right in the Burnet district a stones throw to quick public transit downtown. Walk to several bars including Lala's (famous Christmas bar), Yard Bar, Pour House, or Aristocrat and several top notch restaurants: Stubb's BBQ, Bufalina Due, Barley Swine, Flyrite, or Lick!",Austin Private Patio Convenient Downtown - Burnet,https://www.airbnb.com/rooms/16067140?location=Cedar%20Park%2C%20TX,November,2016,[78757]
111,199,1,5,Austin,14-Jun,"Enjoy our newly built, spacious modern back home right on the hike and bike trail! It quiet and peaceful yet less than a mile from Rainey Street nightlife and downtown Austin. You will have our garden home to yourself with hosts on property. Family-friendly, peaceful abode.",Serene and Modern Urban Paradise,https://www.airbnb.com/rooms/3386939?location=Colorado%20River%2C%20TX,June,2014,[78702]
129,115,3,9,Round Rock,16-May,"Texas cottage in great location: Approx. 8 miles to the Domain and Whole Foods in Austin, TX. / 25 minutes to downtown Austin. / 4 miles to Dell Corporation in Round Rock and within 5 miles of The Dell Diamond and the Round Rock Express / Easy access to major roads and a Beeline to the airport. Entire home available. It is 3 bedrooms and 2 1/2 baths. Clean, light and airy, comfortable home with hospitable hosts.",On The Trail - Love Austin/Round Rock Entire Home,https://www.airbnb.com/rooms/16605295?location=Coupland%2C%20TX,May,2016,[78664]
162,454,3,5,Austin,13-Feb,"Walk to everything. Enjoy the best that downtown Austin has to offer from nightlife, bars, and restaurants to shopping, yoga, and the great outdoors. This swanky condo is perfectly located in the heart of ATX, and provides access to a community pool.",The Railyard Oasis Located Downtown,https://www.airbnb.com/rooms/917932?location=Colorado%20River%2C%20TX,February,2013,[78701]
165,201,4,10,Austin,17-Mar,"My place is close to parks and restaurants and dining. You can walk to the grocery store, Starbucks, and a couple restaurants and bars. You’ll love my place because of the privacy and easy drive to downtown and the chill backyard with hammock, BBQ, and trampoline. My place is good for business travelers, families (with kids), and big groups. **Note: my friendly cat Hondo will be home. You can basically ignore him, but if you are allergic this may not be the best home for you**",4 BR Home 20 Minutes to Downtown or Hill Country,https://www.airbnb.com/rooms/17499008?location=Bee%20Cave%2C%20TX,March,2017,[78749]
184,74,1,6,Austin,15-Nov,"Live like a local in eclectic South Austin. Private bedroom, full-bath &amp; sitting room in classic 1950's Austin ranch-style home with native garden habitat. Close to coffee shop, yoga, organic co-op, live music venue. Easy bus or ride share downtown.",Be Local South ATX Garden Suite,https://www.airbnb.com/rooms/9463945?location=Austin%2C%20TX,November,2015,[78745]
185,42,1,9,Austin,11-Aug,Spacious double room in a charming renovated East Austin bungalow. Fully renovated in 2016.\n\nThe double room very comfortably fits 2 and has its own private bathroom (not ensuite). The neighborhood is 2 miles from downtown and just a short Fasten ride away. 10 mins from Austin airport. Cafes/restaurants/bars in walking distance.,Comfy dble room and private bath - East Austin,https://www.airbnb.com/rooms/2600667?location=Austin%2C%20TX,August,2011,[78702]
187,169,2,7,Austin,11-Mar,"Beautifully renovated two bedroom cottage that is registered with the City of Austin and not subject to any hostile moves by code compliance (kicking out guests, fining owners, etc) All legal. Wonderful Deck with Hot Tub and Remodeled Cottage. Two miles from Downtown and close to MLK rail. \n\nThe pics and testimonials tell the story, come stay!",EASTSIDE COTTAGE W HOT TUB AND DECK,https://www.airbnb.com/rooms/2124026?location=Brazos%20River%2C%20TX,March,2011,[78702]
